Vertices Density Dijkstra-List Dijkstra-Matrix BellmanFord-List BellmanFord-Matrix 
10 0.25 2.2383e-05 1.1663e-05 1.9289e-05 1.2523e-05 
10 0.25 1.0425e-05 8.8e-06 1.048e-05 9.055e-06 
10 0.25 8.483e-06 6.783e-06 9.624e-06 8.31e-06 
10 0.25 6.596e-06 5.568e-06 8.275e-06 8.03e-06 
10 0.25 7.122e-06 5.104e-06 7.895e-06 7.68e-06 
10 0.25 5.628e-06 5.453e-06 7.644e-06 7.331e-06 
10 0.25 5.089e-06 5.747e-06 8.929e-06 7.715e-06 
10 0.25 4.989e-06 4.064e-06 7.671e-06 7.777e-06 
10 0.25 9.044e-06 4.206e-06 7.924e-06 7.5e-06 
10 0.25 4.585e-06 4.04e-06 7.313e-06 7.072e-06 
10 0.25 4.504e-06 4e-06 1.0273e-05 7.202e-06 
10 0.25 4.33e-06 3.973e-06 7.191e-06 6.91e-06 
10 0.25 4.228e-06 3.97e-06 7.155e-06 7.318e-06 
10 0.25 4.446e-06 4.191e-06 7.154e-06 6.839e-06 
10 0.25 4.293e-06 3.824e-06 7.111e-06 7.043e-06 
10 0.25 4.35e-06 3.844e-06 7.107e-06 6.923e-06 
10 0.25 1.0839e-05 4.14e-06 7.912e-06 7.076e-06 
10 0.25 4.364e-06 3.875e-06 7.191e-06 6.996e-06 
10 0.25 4.244e-06 3.975e-06 7.167e-06 7.018e-06 
10 0.25 4.397e-06 3.942e-06 7.288e-06 6.91e-06 
10 0.25 4.303e-06 4.108e-06 7.255e-06 7.134e-06 
10 0.25 4.313e-06 7.525e-06 7.881e-06 7.099e-06 
10 0.25 4.341e-06 3.911e-06 7.311e-06 7.154e-06 
10 0.25 4.3e-06 4.029e-06 7.262e-06 7.043e-06 
10 0.25 4.352e-06 4.024e-06 7.202e-06 7.178e-06 
10 0.25 4.25e-06 4.079e-06 1.0157e-05 7.152e-06 
10 0.25 4.385e-06 4.039e-06 7.347e-06 7.189e-06 
10 0.25 4.399e-06 4.047e-06 7.236e-06 7.097e-06 
10 0.25 4.288e-06 4.109e-06 7.26e-06 7.215e-06 
10 0.25 4.342e-06 4.146e-06 7.251e-06 7.132e-06 
10 0.25 4.386e-06 4.118e-06 7.394e-06 7.179e-06 
10 0.25 4.386e-06 4.058e-06 7.291e-06 7.16e-06 
10 0.25 1.7303e-05 4.371e-06 8.057e-06 7.483e-06 
10 0.25 4.606e-06 4.221e-06 7.453e-06 7.234e-06 
10 0.25 4.538e-06 4.259e-06 7.427e-06 7.201e-06 
10 0.25 4.473e-06 4.175e-06 7.254e-06 7.287e-06 
10 0.25 4.503e-06 4.224e-06 7.451e-06 7.265e-06 
10 0.25 4.552e-06 4.069e-06 7.516e-06 7.283e-06 
10 0.25 4.452e-06 4.202e-06 7.487e-06 7.345e-06 
10 0.25 4.449e-06 4.188e-06 7.421e-06 7.283e-06 
10 0.25 4.56e-06 4.356e-06 7.382e-06 7.367e-06 
10 0.25 4.507e-06 4.288e-06 7.442e-06 7.37e-06 
10 0.25 4.701e-06 4.37e-06 1.1304e-05 7.567e-06 
10 0.25 4.791e-06 4.298e-06 7.513e-06 7.312e-06 
10 0.25 4.694e-06 4.319e-06 7.474e-06 7.523e-06 
